"timestamp","system_time","lat","lon","speed","bearing","provider"
"1558635789000","1558635787988","43.00998539","-78.77760925","13.0","124.5","gps"
"1558635790000","1558635788986","43.00992455","-78.77746986","13.5","125.4","gps"
"1558635791000","1558635789985","43.00986622","-78.77732243","13.75","126.1","gps"
"1558635792000","1558635790998","43.00979832","-78.77718057","14.0","126.5","gps"
"1558635793000","1558635791994","43.00972377","-78.77705822","14.0","127.2","gps"
"1558635794000","1558635792992","43.00966123","-78.77692846","14.25","126.8","gps"
"1558635795000","1558635793998","43.00958513","-78.77679009","14.25","126.8","gps"
"1558635796000","1558635794995","43.00950844","-78.77662317","14.75","126.0","gps"
"1558635797000","1558635795994","43.0094194","-78.77648693","15.0","126.3","gps"
"1558635798000","1558635796992","43.00935125","-78.77634717","15.25","126.5","gps"
"1558635799000","1558635797998","43.00928201","-78.7761918","15.25","127.6","gps"
"1558635800000","1558635798994","43.0092003","-78.77605429","15.25","128.3","gps"
"1558635801000","1558635799995","43.0091149","-78.7758887","15.5","129.3","gps"
"1558635802000","1558635800994","43.00902221","-78.77574903","15.25","130.4","gps"
"1558635803000","1558635801994","43.00893626","-78.77560184","15.0","129.8","gps"
"1558635804000","1558635802992","43.00883789","-78.77545214","14.75","128.2","gps"
"1558635805000","1558635803986","43.0087566","-78.7753116","14.75","128.2","gps"
"1558635806000","1558635804993","43.00867002","-78.77518102","14.5","127.7","gps"
"1558635807000","1558635805993","43.00858348","-78.77502991","14.75","126.3","gps"
"1558635808000","1558635806994","43.00849241","-78.77487858","14.25","125.9","gps"
"1558635809000","1558635807995","43.00841683","-78.77472484","14.25","126.7","gps"
"1558635810000","1558635808993","43.00834414","-78.77458412","14.0","127.0","gps"
"1558635811000","1558635809985","43.00826863","-78.77444771","14.0","127.0","gps"
"1558635812000","1558635810995","43.00820508","-78.77432928","12.25","124.5","gps"
"1558635813000","1558635811994","43.00814585","-78.77423867","10.0","122.5","gps"
"1558635814000","1558635812993","43.00810189","-78.77414269","7.5","119.3","gps"
